Reúne detalhes dos diferentes instrumentos financeiros disponíveis, incluindo suas características, especificações e regras de negociação.

Instrumento financeiro;Ativo;Descrição do ativo;Segmento;Mercado;Categoria;Data de expiração;Data início negócio;Data fim negócio;Código ISIN;Código CFI;Tipo de opção;Tamanho de lote de alocação;Moeda negociada;Tipo de entrega;Preço de exercício;Estilo de opção;Indicador de prêmio antecipado;Identificador da distribuição;Fator de preço;Dias para liquidação;Tipo de série;Indicador de proteção;Exercício automático;Código de especificação;Nome da instituição;Data início de evento corporativo;Tipo de tratamento de custódia;Capital social;Nível de governança corporativa
003H11;003H;FII KINEA COCI;CASH;EQUITY-CASH;FUNDS;-;31/12/9999;31/12/9999;BR003HCTF006;CICGRY;-;1;BRL;-;-;-;-;100;1;2;-;-;-;CI;KINEA CO-INVESTIMENTO FDO INV IMOB;31/12/9999;FUNGIBLE;15000;-
0FEA11;0FEA;SPIM FII    CI;CASH;EQUITY-CASH;FUNDS;-;31/12/9999;31/12/9999;BR0FEACTF006;CICGRY;-;1;BRL;-;-;-;-;100;1;2;-;-;-;CI;SPIM FUNDO DE INVESTIMENTO IMOBILIÁRIO;31/12/9999;FUNGIBLE;1631616;-
VALEN462;VALE3;VALE;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;05/11/2025;20/02/2026;BRVALE3N0XA1;OPESPS;Put;100;BRL;FINANCIAL;42,9;EURO;true;217;1;1;SEM CORRECAO;true;false;VALEE   /ATZON   42,90;-;-;-;-;-
VALEN463;VALE3;VALE;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;05/08/2025;20/02/2026;BRVALE3N0U63;OPESPS;Put;100;BRL;FINANCIAL;41,4;EURO;true;215;1;1;SEM CORRECAO;true;false;VALEE   /ATZON   41,40;-;-;-;-;-
VALEN465;VALE3;VALE;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;05/11/2025;20/02/2026;BRVALE3N0X78;OPESPS;Put;100;BRL;FINANCIAL;43,15;EURO;true;217;1;1;SEM CORRECAO;true;false;VALEE   /ATZON   43,15;-;-;-;-;-
VALEN467;VALE3;VALE;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;04/11/2025;20/02/2026;BRVALE3N0WO4;OPESPS;Put;100;BRL;FINANCIAL;43,4;EURO;true;217;1;1;SEM CORRECAO;true;false;VALEE   /ATZON   43,40;-;-;-;-;-
VALEN47;VALE3;VALE;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;04/11/2025;20/02/2026;BRVALE3N0WD7;OPESPS;Put;100;BRL;FINANCIAL;43,65;EURO;true;217;1;1;SEM CORRECAO;true;false;VALEE   /ATZON   43,65;-;-;-;-;-
VALEN470;VALE3;VALE;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;07/02/2025;20/02/2026;BRVALE3N0TS1;OPESPS;Put;100;BRL;FINANCIAL;39,9;EURO;true;212;1;1;SEM CORRECAO;true;false;VALEE   /ATZON   39,90;-;-;-;-;-
VALEN472;VALE3;VALE;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;04/11/2025;20/02/2026;BRVALE3N0WJ4;OPESPS;Put;100;BRL;FINANCIAL;43,9;EURO;true;217;1;1;SEM CORRECAO;true;false;VALEE   /ATZON   43,90;-;-;-;-;-
VALEN475;VALE3;VALE;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;04/11/2025;20/02/2026;BRVALE3N0X52;OPESPS;Put;100;BRL;FINANCIAL;44,15;EURO;true;217;1;1;SEM CORRECAO;true;false;VALEE   /ATZON   44,15;-;-;-;-;-
VALEN477;VALE3;VALE;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;04/11/2025;20/02/2026;BRVALE3N0WI6;OPESPS;Put;100;BRL;FINANCIAL;44,4;EURO;true;217;1;1;SEM CORRECAO;true;false;VALEE   /ATZON   44,40;-;-;-;-;-
VALEN480;VALE3;VALE;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;04/11/2025;20/02/2026;BRVALE3N0VY5;OPESPS;Put;100;BRL;FINANCIAL;44,65;EURO;true;217;1;1;SEM CORRECAO;true;false;VALEE   /ATZON   44,65;-;-;-;-;-
VALEN482;VALE3;VALE;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;04/11/2025;20/02/2026;BRVALE3N0WA3;OPESPS;Put;100;BRL;FINANCIAL;44,9;EURO;true;217;1;1;SEM CORRECAO;true;false;VALEE   /ATZON   44,90;-;-;-;-;-
VALEN485;VALE3;VALE;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;04/11/2025;20/02/2026;BRVALE3N0VW9;OPESPS;Put;100;BRL;FINANCIAL;45,15;EURO;true;217;1;1;SEM CORRECAO;true;false;VALEE   /ATZON   45,15;-;-;-;-;-
VALEN486;VALE3;VALE;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;07/01/2026;20/02/2026;BRVALE3N11B6;OPESPS;Put;100;BRL;FINANCIAL;48,65;EURO;true;218;1;1;SEM CORRECAO;true;false;VALEE   /ATZON   48,65;-;-;-;-;-
VALEN487;VALE3;VALE;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;04/11/2025;20/02/2026;BRVALE3N0W20;OPESPS;Put;100;BRL;FINANCIAL;45,4;EURO;true;217;1;1;SEM CORRECAO;true;false;VALEE   /ATZON   45,40;-;-;-;-;-
VALEN490;VALE3;VALE;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;04/11/2025;20/02/2026;BRVALE3N0VT5;OPESPS;Put;100;BRL;FINANCIAL;45,65;EURO;true;217;1;1;SEM CORRECAO;true;false;VALEE   /ATZON   45,65;-;-;-;-;-
VALEN491;VALE3;VALE;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;18/12/2025;20/02/2026;BRVALE3N0ZD0;OPESPS;Put;100;BRL;FINANCIAL;49,15;EURO;true;218;1;1;SEM CORRECAO;true;false;VALEE   /ATZON   49,15;-;-;-;-;-
VALEN495;VALE3;VALE;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;04/11/2025;20/02/2026;BRVALE3N0X45;OPESPS;Put;100;BRL;FINANCIAL;46,15;EURO;true;217;1;1;SEM CORRECAO;true;false;VALEE   /ATZON   46,15;-;-;-;-;-
VALEN496;VALE3;VALE;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;18/12/2025;20/02/2026;BRVALE3N0ZF5;OPESPS;Put;100;BRL;FINANCIAL;49,65;EURO;true;218;1;1;SEM CORRECAO;true;false;VALEE   /ATZON   49,65;-;-;-;-;-
BOVAN100;BOVA11;ISHARES BOVACI;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;29/10/2025;20/02/2026;BRBOVA9N0TC9;OPEMPS;Put;1;BRL;FINANCIAL;200;EURO;true;115;1;1;SEM CORRECAO;true;false;BOVAE       CI  100,00;-;-;-;-;-
BOVAN500;BOVA11;ISHARES BOVACI;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;25/02/2026;29/10/2025;20/02/2026;BRBOVA9N0XXX;OPEMPS;Put;1;BRL;FINANCIAL;500;EURO;true;115;1;1;SEM CORRECAO;true;false;BOVAE       CI  100,00;-;-;-;-;-
BOVAN101;BOVA11;ISHARES BOVACI;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;29/10/2025;20/02/2026;BRBOVA9N0TD7;OPEMPS;Put;1;BRL;FINANCIAL;101;EURO;true;115;1;1;SEM CORRECAO;true;false;BOVAE       CI  101,00;-;-;-;-;-
BOVAN102;BOVA11;ISHARES BOVACI;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;29/10/2025;20/02/2026;BRBOVA9N0SO6;OPEMPS;Put;1;BRL;FINANCIAL;102;EURO;true;115;1;1;SEM CORRECAO;true;false;BOVAE       CI  102,00;-;-;-;-;-
BOVAN103;BOVA11;ISHARES BOVACI;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;29/10/2025;20/02/2026;BRBOVA9N0TX5;OPEMPS;Put;1;BRL;FINANCIAL;103;EURO;true;115;1;1;SEM CORRECAO;true;false;BOVAE       CI  103,00;-;-;-;-;-
BOVAN104;BOVA11;ISHARES BOVACI;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;20/02/2026;29/10/2025;20/02/2026;BRBOVA9N0ST5;OPEMPS;Put;1;BRL;FINANCIAL;104;EURO;true;115;1;1;SEM CORRECAO;true;false;BOVAE       CI  104,00;-;-;-;-;-
SGPS3;SGPS;-;CASH;EQUITY-CASH;-;-;-;31/12/9999;BRSGPSACNOR4;ESVUFR;-;1;BRL;-;-;-;-;-;1;2;-;-;-;-;SPRINGS GLOBAL PARTICIPACOES S.A.;31/12/9999;FUNGIBLE;-;-
B5MBETF11;B5MB;B5MB;FORWARD;FIXED INCOME;-;15/08/2050;-;31/12/9999;BRB5MBCTF005;CIOGBU;-;-;BRL;-;-;-;-;-;-;-;-;-;-;-;ETF BRADESCO IMA-B5+ FUNDO DE ÍNDICE;-;FUNGIBLE;-;-
B5P2ETF11;B5P2;B5P2;FORWARD;FIXED INCOME;-;15/08/2050;-;31/12/9999;BRB5P2CTF001;CEOGBU;-;-;BRL;-;-;-;-;-;-;-;-;-;-;-;IT NOW IMA-B5 P2 FUNDO DE ÍNDICE RESP LIM;-;FUNGIBLE;-;-
